Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display ID,ID,Last Name,First Name,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Required Methods Called in Main or Iterator,IndexOf  Called in Iterator,indexOfNot Called in Main,IndexOfNot Called in Iterator,Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
acorrect,acorrect,All,Correct,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecredit,ecredit,Extra,Credit,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmany,mmany,Mistakes,Many,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent,tstudent,Test,Student,46.7,,1.05,49.35,0.0,0.0,20.0,1.7,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
tstudent2,tstudent2,Test,Student2,34.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent3,tstudent23,Test,Student3,112.7,,1.05,118.65,15.0,0.0,30.0,1.7,5.0,5.0,18.0,5.0,10.0,5.0,15.0,0.0,3.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
tstudent4,tstudent4,Test,Student4,161.0,,1.05,169.05,15.0,30.0,30.0,10.0,5.0,5.0,18.0,5.0,10.0,5.0,10.0,5.0,0.0,3.0,10.0,0.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
infinite,infinite,Loop,Infinite,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scanner,scanner,Scanner,Multiple,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeout,timeout,Exception,Timeout,38.0,,0.8,30.4,0.0,0.0,0.0,0.0,5.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,,,
