Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display ID,ID,Last Name,First Name,grade,Source Points,Early/Late,Weighted Grade,PlusBeanTest,EndBeanTest,StartBeanTest,MultipleSignTokenOutputTest:Multiple Signs Output,MultipleNumberTokenOutputTest:Multiple Numbers Output,MultipleQuoteTokenOutputTest:Multiple Quotes Output,MinusBeanTest,MultipleWordTokenOutputTest:Multiple Words Output,MultipleGroupingTokenOutputTest:Multiple Grouping Symbols Output,QuoteBeanTest,WordBeanTest,NumberBeanTest,getInput and getValue are called in scannerBean,Public methods are in implemented interfaces,Required token classes instantiated,Single parameter constructors defined,Properties defined for token classes,Necessary interfaces created and used,Extra credit classes instantiated, with proper interfaces,Extra credit constructors and properties defined,Screenshots enclosed,Variables should have interface, not class, type,Illegal import or call,PlusBeanTest,EndBeanTest,StartBeanTest,MultipleSignTokenOutputTest:Multiple Signs Output,MultipleNumberTokenOutputTest:Multiple Numbers Output,MultipleQuoteTokenOutputTest:Multiple Quotes Output,MinusBeanTest,MultipleWordTokenOutputTest:Multiple Words Output,MultipleGroupingTokenOutputTest:Multiple Grouping Symbols Output,QuoteBeanTest,WordBeanTest,NumberBeanTest,getInput and getValue are called in scannerBean,Public methods are in implemented interfaces,Required token classes instantiated,Single parameter constructors defined,Properties defined for token classes,Necessary interfaces created and used,Extra credit classes instantiated, with proper interfaces,Extra credit constructors and properties defined,Screenshots enclosed,Variables should have interface, not class, type,Illegal import or call
acorrect,acorrect,All,Correct,101.85000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecredit,ecredit,Extra,Credit,91.35000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmany,mmany,Mistakes,Many,111.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tstudent,tstudent,Test,Student,180.0,,1.05,189.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,8.0,0.0,15.0,24.0,21.0,4.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
tstudent0,tstudent0,Test0,Student,201.0,,1.05,211.05,5.0,5.0,5.0,5.0,10.0,10.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,24.0,21.0,8.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
tstudent1,tstudent1,Test1,Student,182.0,,1.05,191.1,5.0,5.0,5.0,5.0,10.0,10.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,15.0,0.0,24.0,21.0,8.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
tstudent2,tstudent2,Test2,Student,55.0,,1.05,57.75,0.0,0.0,0.0,5.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
tstudent3,tstudent3,Test3,Student,156.0,,1.05,163.8,5.0,5.0,5.0,5.0,10.0,10.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,0.0,15.0,15.0,24.0,0.0,4.0,8.0,0.0,-10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
tstudent4,tstudent4,Test4,Student,167.0,,1.05,175.35,5.0,5.0,5.0,5.0,0.0,10.0,5.0,0.0,10.0,5.0,10.0,10.0,10.0,10.0,15.0,15.0,14.0,21.0,8.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
skeleton,skeleton,Correct,Skeleton,154.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stubs,stubs,Correct,Stub,154.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
previous,previous,Previous,Assignment,154.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
